id,phase,trigger_event,points,question,option_1,option_2,option_3,option_4,correct_option,correct_answer
pre-1,pre,,10,من فاز بكأس العالم 2022 في قطر؟,فرنسا,البرازيل,الأرجنتين,إنجلترا,3,الأرجنتين
pre-2,pre,,10,من فاز بجائزة الكرة الذهبية (أفضل لاعب) في كأس العالم 2022؟,كيليان مبابي,ليونيل ميسي,لوكا مودريتش,نيمار,2,ليونيل ميسي
pre-3,pre,,10,في أي عام فاز المنتخب العراقي ببطولة كأس آسيا؟,1996,2000,2004,2007,4,2007
pre-4,pre,,10,في أي عام شارك العراق في كأس العالم لأول وآخر مرة قبل 2026؟,1974,1982,1986,1990,3,1986
pre-5,pre,,15,من فاز بالحذاء الذهبي (هداف البطولة) في كأس العالم 2018 بـ6 أهداف؟,رونالدو,ميسي,هاري كين,كيليان مبابي,3,هاري كين
pre-6,pre,,15,أي منتخب كان بطل العالم لكنه خرج من دور المجموعات بصدمة كبرى في كأس العالم 2018؟,البرازيل,إسبانيا,ألمانيا,إيطاليا,3,ألمانيا
pre-7,pre,,15,أي دولة وصلت لنهائي كأس العالم 2018 لأول مرة في تاريخها؟,بلجيكا,كرواتيا,أوروغواي,الدنمارك,2,كرواتيا
pre-8,pre,,15,من سجّل هدف «يد الله» الأسطوري في كأس العالم 1986؟,رونالدو,ميسي,مارادونا,زيدان,3,مارادونا
pre-9,pre,,20,كم هدفاً سجّل ميروسلاف كلوزه في بطولات كأس العالم — رقم قياسي تاريخي؟,12 هدفاً,14 هدفاً,16 هدفاً,18 هدفاً,3,16 هدفاً
pre-10,pre,,20,ما لقب هزيمة البرازيل التاريخية 1-7 أمام ألمانيا على أرضها في نصف نهائي 2014؟,ماراكانازو,مينيرازو,ساو باولوازو,ريو غرانديازو,2,مينيرازو
live-1,live,goal,20,من سجّل هاتريك في مباراة البرتغال وإسبانيا 3-3 في كأس العالم 2018؟ 🔥,دييغو كوستا,كريستيانو رونالدو,موراتا,نيفيس,2,كريستيانو رونالدو
live-2,live,goal,20,من كان هداف كأس العالم 2022 بـ8 أهداف وفاز بالحذاء الذهبي؟ ⚽,ميسي,كيليان مبابي,ماركوس راشفورد,أوليفر جيرو,2,كيليان مبابي
live-3,live,goal,25,من سجّل الهدف الفائز لإسبانيا في نهائي كأس العالم 2010 أمام هولندا في الوقت الإضافي؟ 🏆,دافيد فيا,أندريس إنييستا,تشافي,فيرناندو توريس,2,أندريس إنييستا
live-4,live,yellow_card,15,أي نجم عالمي طُرد في نهائي كأس العالم 2006 بسبب ضربة الرأس الشهيرة على ماتيراتسي؟ 🟨,رونالدينيو,رونالدو,زين الدين زيدان,ديفيد بيكهام,3,زين الدين زيدان
live-5,live,yellow_card,15,أي منتخب عربي حقق مفاجأة كأس العالم 2022 بهزيمة الأرجنتين 2-1 في دور المجموعات؟ 🇸🇦,المغرب,السعودية,تونس,الجزائر,2,السعودية
live-6,live,halftime,10,أي آلة موسيقية أصبحت رمز وصوت كأس العالم 2010 في جنوب أفريقيا؟ 🎶,الطبول الأفريقية,الفوفوزيلا,المزمار,البوق,2,الفوفوزيلا
live-7,live,halftime,20,أي منتخب عربي وصل لأبعد مرحلة في تاريخ العرب بكأس العالم 2022 (نصف النهائي)؟ 🌟,تونس,السعودية,المغرب,مصر,3,المغرب
live-8,live,var,15,في أي نسخة من كأس العالم طُبّق نظام VAR رسمياً لأول مرة في التاريخ؟ 🖥️,2010 جنوب أفريقيا,2014 البرازيل,2018 روسيا,2022 قطر,3,2018 روسيا
live-9,live,var,20,في كأس العالم 2018 من سجّل أول ضربة جزاء في التاريخ مُمنوحة بقرار VAR؟ 🎯,كريستيانو رونالدو,أنطوان غريزمان,هاري كين,كيليان مبابي,2,أنطوان غريزمان
live-10,live,var,25,من هو اللاعب الوحيد الذي فاز بكأس العالم ثلاث مرات مع نفس المنتخب (1958-1962-1970)؟ 🏆,رونالدو البرازيلي,بيليه,دييغو مارادونا,فرانز بيكنباور,2,بيليه
